opid,speakername,item,itemLabel,born,year,month,day,sexLabel,dist
230416,Brigitte Sansoucy,http://www.wikidata.org/entity/Q22280296,Brigitte Sansoucy,1963-01-01,1963,1,1,female,0
10214,Randeep Sarai,http://www.wikidata.org/entity/Q22280309,Randeep Sarai,1975-04-15,1975,4,15,male,0
216099,Randeep Sarai,http://www.wikidata.org/entity/Q22280309,Randeep Sarai,1975-04-15,1975,4,15,male,0
219988,Randeep Sarai,http://www.wikidata.org/entity/Q22280309,Randeep Sarai,1975-04-15,1975,4,15,male,0
242563,Randeep Sarai,http://www.wikidata.org/entity/Q22280309,Randeep Sarai,1975-04-15,1975,4,15,male,0
9741,Jamie Schmale,http://www.wikidata.org/entity/Q22280358,Jamie Schmale,1976-08-10,1976,8,10,male,0
216991,Jamie Schmale,http://www.wikidata.org/entity/Q22280358,Jamie Schmale,1976-08-10,1976,8,10,male,0
216798,Jamie Schmale,http://www.wikidata.org/entity/Q22280358,Jamie Schmale,1976-08-10,1976,8,10,male,0
234447,Jamie Schmale,http://www.wikidata.org/entity/Q22280358,Jamie Schmale,1976-08-10,1976,8,10,male,0
218596,Jamie Schmale,http://www.wikidata.org/entity/Q22280358,Jamie Schmale,1976-08-10,1976,8,10,male,0
217630,Jamie Schmale,http://www.wikidata.org/entity/Q22280358,Jamie Schmale,1976-08-10,1976,8,10,male,0
219102,Deb Schulte,http://www.wikidata.org/entity/Q22280366,Deb Schulte,1960-01-01,1960,1,1,female,0
9622,Deb Schulte,http://www.wikidata.org/entity/Q22280366,Deb Schulte,1960-01-01,1960,1,1,female,0
242091,Deb Schulte,http://www.wikidata.org/entity/Q22280366,Deb Schulte,1960-01-01,1960,1,1,female,0
8871,Anita Vandenbeld,http://www.wikidata.org/entity/Q22282329,Anita Vandenbeld,1971-12-03,1971,12,3,female,0
219862,Anita Vandenbeld,http://www.wikidata.org/entity/Q22282329,Anita Vandenbeld,1971-12-03,1971,12,3,female,0
234508,Anita Vandenbeld,http://www.wikidata.org/entity/Q22282329,Anita Vandenbeld,1971-12-03,1971,12,3,female,0
236950,Anita Vandenbeld,http://www.wikidata.org/entity/Q22282329,Anita Vandenbeld,1971-12-03,1971,12,3,female,0
243017,Anita Vandenbeld,http://www.wikidata.org/entity/Q22282329,Anita Vandenbeld,1971-12-03,1971,12,3,female,0
10475,Salma Zahid,http://www.wikidata.org/entity/Q22282385,Salma Zahid,1970-05-26,1970,5,26,female,0
219641,Salma Zahid,http://www.wikidata.org/entity/Q22282385,Salma Zahid,1970-05-26,1970,5,26,female,0
220019,Salma Zahid,http://www.wikidata.org/entity/Q22282385,Salma Zahid,1970-05-26,1970,5,26,female,0
234499,Salma Zahid,http://www.wikidata.org/entity/Q22282385,Salma Zahid,1970-05-26,1970,5,26,female,0
245495,Salma Zahid,http://www.wikidata.org/entity/Q22282385,Salma Zahid,1970-05-26,1970,5,26,female,0
242583,Salma Zahid,http://www.wikidata.org/entity/Q22282385,Salma Zahid,1970-05-26,1970,5,26,female,0
9568,Karen Vecchio,http://www.wikidata.org/entity/Q22704261,Karen Vecchio,1971-03-06,1971,3,6,female,0
217605,Karen Vecchio,http://www.wikidata.org/entity/Q22704261,Karen Vecchio,1971-03-06,1971,3,6,female,0
216368,Karen Vecchio,http://www.wikidata.org/entity/Q22704261,Karen Vecchio,1971-03-06,1971,3,6,female,0
216462,Karen Vecchio,http://www.wikidata.org/entity/Q22704261,Karen Vecchio,1971-03-06,1971,3,6,female,0
235144,Karen Vecchio,http://www.wikidata.org/entity/Q22704261,Karen Vecchio,1971-03-06,1971,3,6,female,0
218186,Karen Vecchio,http://www.wikidata.org/entity/Q22704261,Karen Vecchio,1971-03-06,1971,3,6,female,0
216688,Karen Vecchio,http://www.wikidata.org/entity/Q22704261,Karen Vecchio,1971-03-06,1971,3,6,female,0
10253,Nick Whalen,http://www.wikidata.org/entity/Q22704263,Nick Whalen,1973-06-06,1973,6,6,male,0
215934,Nick Whalen,http://www.wikidata.org/entity/Q22704263,Nick Whalen,1973-06-06,1973,6,6,male,0
234527,Nick Whalen,http://www.wikidata.org/entity/Q22704263,Nick Whalen,1973-06-06,1973,6,6,male,0
237228,Nick Whalen,http://www.wikidata.org/entity/Q22704263,Nick Whalen,1973-06-06,1973,6,6,male,0
248951,Nick Whalen,http://www.wikidata.org/entity/Q22704263,Nick Whalen,1973-06-06,1973,6,6,male,0
10296,Arif Virani,http://www.wikidata.org/entity/Q22704264,Arif Virani,1971-11-23,1971,11,23,male,0
219933,Arif Virani,http://www.wikidata.org/entity/Q22704264,Arif Virani,1971-11-23,1971,11,23,male,0
234538,Arif Virani,http://www.wikidata.org/entity/Q22704264,Arif Virani,1971-11-23,1971,11,23,male,0
229495,Arif Virani,http://www.wikidata.org/entity/Q22704264,Arif Virani,1971-11-23,1971,11,23,male,0
220022,Arif Virani,http://www.wikidata.org/entity/Q22704264,Arif Virani,1971-11-23,1971,11,23,male,0
242093,Arif Virani,http://www.wikidata.org/entity/Q22704264,Arif Virani,1971-11-23,1971,11,23,male,0
219861,Arif Virani,http://www.wikidata.org/entity/Q22704264,Arif Virani,1971-11-23,1971,11,23,male,0
245475,Arif Virani,http://www.wikidata.org/entity/Q22704264,Arif Virani,1971-11-23,1971,11,23,male,0
242311,Arif Virani,http://www.wikidata.org/entity/Q22704264,Arif Virani,1971-11-23,1971,11,23,male,0
9324,Jati Sidhu,http://www.wikidata.org/entity/Q22704269,Jati Sidhu,1955-01-01,1955,1,1,male,0
215892,Jati Sidhu,http://www.wikidata.org/entity/Q22704269,Jati Sidhu,1955-01-01,1955,1,1,male,0
9927,Gagan Sikand,http://www.wikidata.org/entity/Q22704271,Gagan Sikand,1984-12-13,1984,12,13,male,0
215862,Gagan Sikand,http://www.wikidata.org/entity/Q22704271,Gagan Sikand,1984-12-13,1984,12,13,male,0
239942,Gagan Sikand,http://www.wikidata.org/entity/Q22704271,Gagan Sikand,1984-12-13,1984,12,13,male,0
215946,Filomena Tassi,http://www.wikidata.org/entity/Q22770985,Filomena Tassi,1962-01-01,1962,1,1,female,0
9707,Filomena Tassi,http://www.wikidata.org/entity/Q22770985,Filomena Tassi,1962-01-01,1962,1,1,female,0
229933,Filomena Tassi,http://www.wikidata.org/entity/Q22770985,Filomena Tassi,1962-01-01,1962,1,1,female,0
229875,Filomena Tassi,http://www.wikidata.org/entity/Q22770985,Filomena Tassi,1962-01-01,1962,1,1,female,0
